index,AAL.L,ABDN.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BLND.L,BME.L,BNZL.L,BP.L,BRBY.L,BT.A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,ENT.L,EXPN.L,FCIT.L,FLTR.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSN.L,PSON.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
0.007162442,0.019072196,-0.001610898,-0.007968069,0.009279362,0.015618104,0.002688879,0.005714693,0.0048114,0.018584645,0.001012704,0.004656576,0.006356008,0.00486626,0.005501015,-0.015629749,0.018006942,0.008936802,0.022026053,0.001725004,-0.016807235,0.009845019,0,0.012649412,0.008764217,-0.006734553,0.00831142,0.018945131,0.015834355,0.006309048,-0.000864697,0.006854279,-0.007192245,-0.002713706,0.013996143,0.034464472,0.01563393,0.013615056,-0.0023641,0.004218428,0.011673344,0.024856233,0.004247875,0.013228135,0.001838184,0.003308507,-0.000363853,-0.01077917,0.02281475,0.017857697,0.017007399,0.009602455,0.002798108,-0.006447872,-0.00309583,0.013581764,0.007960722,0.012527472,-0.046983661,-0.002806977,-0.001657481,0.012613504,0.006008848,0.007604785,0.004264465,0.019261358,-0.000818343,0.002440262,0.00800392,-0.001909087,-0.053088416,0.004179817,0.004224769,0.010328917,0.006574635,0.007666013,0.00973378,0.000542126,-0.002866977,0.008517893,0.010912145,0.009917312,-0.017505002,-0.007190625,0.001857769,0.015000944,-0.000501632,0.010403217,0.01611109,0.008006569,0.016984553,-0.024941696,0.014388954,0.002557801
-0.01045008,-0.046250913,-0.010533655,-0.017694135,0.003074176,-0.027728292,-0.029981831,-0.014464814,-0.009444603,-0.008696249,0.036765206,-0.016393956,0.005109766,-0.021259946,-0.002092109,-0.012454211,-0.01671001,-0.052230429,-0.013372753,-0.01359208,-0.020730753,0.006224338,0.001400666,-0.00560218,-0.008764217,-0.007402275,-0.018799367,-0.008075374,-0.002712331,0.010427706,-0.008688342,-0.010759008,0.012043173,-0.035026622,0.002775913,-0.027685502,-0.003976222,0.001351165,-0.004744955,-0.027744512,-0.003876017,-0.007392401,-0.022210182,-0.013228135,0.017783866,0.002474344,-0.00914259,0.016610204,-0.014007591,0.030947256,-0.017864832,-0.020467758,-0.00799597,-0.02856233,-0.00544107,-0.023092826,0.0177352,-0.010145566,0.000728547,0.016379463,-0.012235549,-0.030264008,-0.01915353,-0.013869873,-0.005975158,-0.049138248,-0.000819013,-0.001707388,-0.00800392,-0.00510886,-0.004553862,-0.021075592,-0.01187455,0.001633438,-0.018852745,-0.033214169,-0.026868457,-0.016944916,-0.005682618,-0.002547587,-0.010598512,0,-0.031875986,-0.018730916,-0.001393304,-0.019934323,-0.011105655,-0.011467102,-0.001523388,-0.004796316,-0.002506491,-0.024477657,-0.009132581,-0.024924762
-0.01983849,-0.11655892,-0.026969224,-0.025695445,-0.017337965,-0.018921903,-0.054733504,-0.012581548,-0.027426915,-0.03178787,-0.013752888,-0.029716831,-0.017179968,-0.022566806,-0.005249063,-0.015499734,-0.011724478,-0.06907314,-0.018478775,-0.016883426,-0.018382669,-0.010972375,-0.013385336,-0.016045672,-0.014184688,-0.019532338,-0.017549035,-0.025548788,-0.022244453,-0.019906307,-0.019383746,-0.01538854,-0.014366535,-0.040196799,-0.022426006,-0.086831353,-0.026423734,-0.04488155,-0.0071598,-0.012471706,-0.001943481,-0.027582123,-0.021103879,-0.031416195,-0.022740878,-0.004127102,-0.014804013,0.011560766,-0.023511887,-0.02638028,-0.0199405,-0.035342383,-0.021496999,-0.016581604,-0.029262672,-0.003191134,-0.000210551,-0.019564493,0.010866034,0.009974371,-0.011255076,-0.032650158,-0.001528069,-0.024029435,-0.001713748,-0.034153586,-0.012035627,-0.013271176,-0.025317444,0.000640388,-0.009589596,-0.035408435,-0.020690342,-0.011018576,-0.029134769,-0.003515055,-0.016900018,-0.021170758,-0.030550854,-0.007682799,-0.005027015,-0.021949598,-0.019189933,-0.027151116,-0.002325918,-0.016740895,-0.024667366,-0.009269398,-0.011498801,-0.005893358,-0.00434442,-0.039308802,-0.027235108,-0.018018591
-0.00702825,-0.048748853,0.012474291,-0.025713181,0.011797514,-0.025146373,-0.030414075,0.028203248,-0.010429716,-0.007331132,0.027318797,-0.026622381,-0.009184204,0.009255489,0.003677323,0.012076107,-0.018704851,0.01118681,0.004924608,-0.027012369,0.01564667,0.007328307,-0.006403372,-0.01148345,0.001784291,-0.00552207,-0.008079646,-0.006490427,0.005262427,-0.006369482,-0.011633249,-0.00660081,0.026267711,-0.166894324,-0.017876594,-0.015750349,0.019883004,-0.027928618,0.002989326,-0.005793498,0.003883543,0.000847308,0.013589605,-0.004887895,-0.0036984,0,-0.008989136,-0.010592334,-0.005125174,0.005150629,-0.02123969,-0.005674796,-0.008962136,0.007139915,-0.018631564,-0.00071049,-0.01026529,-0.017483271,-0.016709592,0.009536815,-0.004537941,-0.00724103,0.015174794,-0.013684181,0.002569646,-0.025828241,-0.005989275,0.013759461,0.024424529,-0.01093621,0.013317039,-0.014074246,0.006079206,-0.008760919,-0.056208873,-0.003526944,0.002393808,0.009526421,-0.006286787,-0.010335756,-0.014593984,-0.006070873,-0.000593373,-0.005411289,-0.003265583,0.053840291,0.007773823,-0.004847034,-0.019463584,0.003754425,0.021983944,-0.023175874,-0.014242567,-0.001212759
-0.006890626,0.005439147,0.001101328,0.000988653,-0.003091096,-0.000979855,-0.026973567,0.007494356,-0.006732831,-0.021733521,0.013384651,-0.00225085,0.004808048,-0.004196606,-0.010013316,0.011084408,-0.000674541,-0.016019666,-0.00109229,-0.001979411,-0.010096399,-0.005707252,0.004273613,-0.007729593,0.009756084,-0.016853494,-0.000540853,-0.005597072,-0.002489252,-0.009630826,-0.009041602,-0.00450381,-0.001260287,-0.072493739,-0.016733788,-0.053687357,-0.017654103,-0.020543502,0.009507113,-0.002608202,-0.006806147,-0.001695049,0.002379034,-0.005807511,0.000854732,0.001652757,0.011595637,-0.019550741,0,-0.000906995,0,-0.004890072,0.000870721,0.001579923,-0.004917946,-0.004274226,0.000957079,-0.010994441,-0.005878085,-0.063680177,-0.005701327,-0.009125942,-0.000502043,-0.010204038,-0.007728771,-0.024448281,-0.002673015,-0.001465408,-0.01349554,0,0.005770808,-0.012762814,0.018018162,-0.000237719,-0.015390434,0.036856422,0.008465732,-0.009526421,-0.007596753,-0.01482804,-0.004805403,-0.002031951,0.002173842,-0.015860177,-0.004684042,-0.009919834,0.006176125,-0.005594029,-0.003938454,0.002672975,-0.010138598,-0.002935225,-0.007541857,0.018993154
0.009728132,0.008856212,0.013393605,0.004272665,0.012307833,0.005865043,-0.035708672,-0.002265196,0.01466933,0.015968433,-0.009542013,0.013182955,0.013475747,0.024918231,0.011585056,0.037174673,0.005383741,0.032177718,0.009788231,-0.015204202,0.017375956,0.022213591,0.005669743,0.00193815,0.011408531,0.013357433,0.010228775,-0.004688313,0.017296183,-0.002152997,0.028650133,0.010869247,-0.007842918,0.022086787,0,-0.019666318,0.011804126,0.002960677,0.012926058,0.014558072,0.006806147,0.015151728,-0.003968207,0.01379327,0.021969452,0.011494327,0.013298997,0.005905356,0,0.017688837,0.006241483,0.003669598,0.005353464,0.019539469,0.031543114,0.011708499,0.008465474,0.010641684,-0.002213232,0.013278545,0.004563751,0.00548554,0.008999786,0.016709481,0.013698709,-0.026875102,0.016428064,0.005361835,0.007220465,0.002584019,0.031954111,0.013508556,0.002547875,0.008054859,-0.00221828,0.01269046,0.018013837,0.002249694,0.021803601,0.019147616,0.007677652,-0.002715445,0.014307009,0.012054948,-0.000469644,0.064882067,0.020315892,0.023075775,0.009426681,0.001067407,0.002261897,0.001762135,0.020436571,0
0.005348923,-0.004526061,0.018028497,-0.002627377,0,0.016433261,-0.014268555,-0.013928621,0.002285859,0.016627932,0.005736016,-0.003217675,0.00620076,0.005725999,-0.00078561,0.007596382,-0.003361256,0.003512186,-0.005425899,0.038702819,0.008126382,0.005792296,-0.000706908,0.017274894,0.001743845,0.012117429,0.002140185,0.003752343,0.007862477,-0.00107816,0.008787353,0.002347609,-0.01690617,0.037632419,0.015289763,-0.001807135,0.015284091,-0.009654925,-0.009384286,-0.00059411,-0.011696097,-0.015151728,-0.010793821,0.015347925,0.006802596,0.003259972,0.009859453,0.037558607,-0.040305773,0.007696915,-0.0008894,0.007703431,-0.021882594,-0.017568251,0.011872026,0.004223127,-0.007084904,-0.005661446,-0.009647529,-0.00607909,0.000568949,0.009437517,0,0.009322496,0.003395924,0.018888169,0.010966568,0.014239704,0.008060731,0.001933696,-0.014031123,-0.000372757,-0.010230306,0.006585349,-0.003707654,-0.020811954,-0.002850143,0.002804914,-0.028138649,-0.008658016,-0.023211914,0.008124507,0.004659146,0.019952123,0.002345864,0.019777587,0.000502459,0.011603475,-0.009426681,0.004257559,0.005407681,0.026065806,-0.004054038,-0.015117168
-0.007205871,0.127599777,-0.008032365,-0.007260681,-0.014787682,-0.041263069,0.01105568,-0.047078794,-0.015056953,-0.016859018,-0.011505284,-0.020030673,-0.022146321,-0.038242296,-0.046382752,-0.025456444,-0.014242331,0.077912801,-0.014246922,0.034675178,0.008060813,-0.019403567,-0.021444784,0.008998439,-0.012270099,-0.012117429,-0.022157059,-0.020814173,-0.022669408,-0.002159733,-0.009670253,-0.020130722,-0.060430376,-0.014361578,0.015059602,0.089767163,-0.002893384,-0.028000035,-0.031729717,-0.005562262,-0.042048228,-0.044220535,-0.074664603,-0.025117,-0.021960496,-0.012279955,-0.013904383,0.040746418,-0.031184583,-0.014555266,-0.024314378,-0.009740313,-0.018909484,-0.017882636,-0.031977171,-0.007755776,-0.005427227,-0.017180489,0.003755147,-0.035783256,-0.007995522,-0.007979727,-0.034948852,0.026761972,-0.00765657,0.030132418,-0.018234884,-0.057708404,-0.007162289,-0.008406198,0.00924277,-0.033747395,-0.013805382,-0.003757539,0.033244939,-0.024767753,-0.033776478,0.030347249,0.01025931,-0.021090463,-0.022428456,-0.015630622,0.004830472,-0.019952123,-0.013682685,0.059472283,-0.051557848,-0.014259517,-0.025581017,-0.019303588,-0.010390804,0.018691932,-0.021211903,-0.030937932
-0.0194678,-0.121998845,-0.030293004,-0.010990924,0.011724896,-0.03781745,-0.061664281,-0.033826536,-0.021510743,-0.021747828,-0.009689954,-0.030297623,-0.012302226,-0.019683974,-0.005227773,-0.027260289,-0.023497766,0.004314818,-0.018379832,-0.027850106,-0.000892338,-0.007954651,-0.013091074,-0.024339161,-0.0115302,0.004871241,-0.025457957,-0.017358219,-0.010552695,0.00108033,-0.002653935,-0.012276035,0.030272455,-0.029601531,-0.017953923,-0.067340786,-0.012390707,-0.065818599,-0.021519263,-0.033008925,0.006116184,-0.023319323,-0.017915971,-0.034501825,-0.005957876,-0.005782851,-0.021602197,0.027742272,-0.032602817,0,-0.019328605,-0.02519231,-0.027737139,-0.036753437,-0.037240586,-0.005680467,-0.002777922,-0.046176036,0.01044008,-0.05501767,-0.015602569,-0.026569949,-0.011926576,-0.015406395,-0.010300418,-0.054179198,-0.00398661,-0.024933769,-0.022718059,-0.009788098,-0.024702785,-0.017899372,-0.032673799,-0.019002935,-0.029537284,-0.006621191,-0.014870986,-0.026433288,-0.021635217,-0.020637951,-0.016479276,-0.02496654,-0.044337836,-0.028171195,-0.010026246,-0.021357556,-0.027354899,-0.007653031,-0.027083883,-0.014726277,-0.018101043,-0.045344799,-0.007636215,-0.007006919
-0.004178217,-0.000430034,-0.003330642,0.005344092,0.006725789,-0.010471467,-0.001712937,0.012142434,-0.003018455,-0.004620582,-0.008802086,-0.021874663,0.004717678,-0.020961539,0.004404203,-0.023055736,-0.00420513,-0.020664241,-0.010737542,0.006925432,0.000892338,-0.008453494,0.003653577,-0.008733734,0.019435185,-0.004164159,-0.017529312,-0.02661587,-0.006441723,0.002157563,-0.006219125,-0.0019393,0.012698004,-0.048545919,-0.022719885,0.02220057,0.001465671,0.015453852,-0.008739211,-0.012430155,-0.004073297,-0.010032029,-0.009747833,-0.016063753,0.015108228,-0.015866778,-0.000376668,-0.049761491,-0.008319647,-0.020251653,-0.007462952,-0.000418364,-0.011657678,0.01322311,0.009231898,-0.023776852,-0.009244584,-0.01639065,-0.014195228,-0.048692,-0.015849873,0.007080333,-0.017364295,-0.023564107,-0.013026809,-0.006715339,-0.000499446,-0.004434672,-0.010161563,-0.01586276,-0.018204874,-0.009467526,-0.003597184,-0.01012305,-0.009295479,-0.013375076,-0.003547753,-0.015748348,-0.001051745,0,-0.011253179,-0.007754821,-0.014613572,0.007812681,-0.006257659,-0.017791696,-0.022546765,0.015776169,0.00497893,-0.004957286,-0.013032534,-0.024971505,-0.010507981,-0.020807711
